Лобия_(гиацинтовые_бобы__египетские_бобы)_незрелые__вареные__без_соли,50 кКал
Лобия_(гиацинтовые_бобы__египетские_бобы)_незрелые__вареные__с_солью,50 кКал
Люпин_(волчий_боб)__зрелые_семена,371 кКал
Люпин_(волчий_боб)__зрелые_семена__вареные__без_соли,119 кКал
Люпин_(волчий_боб)__зрелые_семена__вареные__с_солью,116 кКал
Маш_(бобы_мунг),300 кКал
Маш_(бобы_мунг),347 кКал
Маш_(бобы_мунг)_проросшие_семена__вареные__с_солью,19 кКал
Маш_(бобы_мунг)_проросшие_семена__консервированные__сухой_продукт_без_маринада,12 кКал
Маш_(бобы_мунг)__вареные__с_доб._соли,105 кКал
Маш_(бобы_мунг)__проросшие__вареные__без_соли,21 кКал
Маш_(бобы_мунг)__проросшие__жареные,50 кКал
Маш_(бобы_мунг)__проросшие__сырые,30 кКал
Маш_красный_(фасоль_адзуки)__зрелые_семена,329 кКал
Маш_красный_(фасоль_адзуки)__зрелые_семена__вареный__без_соли,128 кКал
Маш_красный_(фасоль_адзуки)__зрелые_семена__вареный__с_солью,128 кКал
Маш_красный_(фасоль_адзуки)__зрелые_семена__консервированный__подслащенный,237 кКал
Маш_чёрный_(урд__или_маи),341 кКал
Маш_чёрный_(урд__или_маи)__вареный__без_соли,105 кКал
Мисо,198 кКал
Натто_(сброженные_соевые_бобы),211 кКал
Нут_(турецкий_горох),378 кКал
Нут_(турецкий_горох),309 кКал
Нут_(турецкий_горох)__вареный__без_соли,164 кКал
Нут_(турецкий_горох)__вареный__с_солью,164 кКал
Нут_(турецкий_горох)__консервированный,88 кКал
Нут_(турецкий_горох)__консервированный__промытый_водой,138 кКал
