Нут_(турецкий_горох)__консервированный__с_пониженным_содержанием_натрия,88 кКал
Нут_(турецкий_горох)__консервированный__содержимое_без_жидкости,139 кКал
Нутовая_мука,387 кКал
Пападам__тонкая_лепёшка_из_чечевичной_муки,371 кКал
Пюре_из_бобов__мексиканская_кухня__консервированное,90 кКал
Пюре_из_бобов__мексиканская_кухня__консервированное__вегетарианское,83 кКал
Пюре_из_бобов__мексиканская_кухня__консервированное__обезжиренное,79 кКал
Сарделька_(сосиска)__из_бобового_заменителя_мяса,233 кКал
Смесь_бобовых_(кукуруза__лимская_фасоль__горох__зеленые_бобы__морковь)__консервированная__без_добавления_соли,37 кКал
Соевая_вермишель,331 кКал
Соевая_мука_необезжиренная,385 кКал
Соевая_мука_обезжиренная,291 кКал
Соевая_мука_полуобезжиренная,334 кКал
Соевая_мука__необезжиренная__поджаренная,439 кКал
Соевая_мука__необезжиренная__сырая,434 кКал
Соевая_мука__низкожирная,372 кКал
Соевая_мука__обезжиренная,327 кКал
Соевое_молоко__маложирное__с_доб._кальция__витаминов_A_и_D,43 кКал
Соевое_молоко__натуральное_и_ванильное__легкое__неподслащенное__с_доб._кальция__витаминов_A_и_D,34 кКал
